scorer,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-11-24_3_SS047_eye\img05057.png,196.07835054641532,111.98228653776866,203.28382670829836,165.30281013570308,169.17790620871867,142.2452864176774,224.4198901164886,139.84346103038305,173.5011919058485,58.661762939834205,176.38338237060168,253.2096193106761
labeled-data\2015-11-24_3_SS047_eye\img05799.png,167.2564458988832,131.67725471358227,,,,,,,169.17790620871867,109.10009607301544,173.5011919058485,153.77404827669025
labeled-data\2015-11-24_3_SS047_eye\img11424.png,193.67652515912096,101.41425483367354,200.882001321004,164.82244505824423,161.97243004683563,135.52017533325323,229.22354089107728,130.71652455866453,173.98155698330734,54.81884232016324,180.22630299027264,250.3274288459229
labeled-data\2015-11-24_3_SS047_eye\img14402.png,207.12674732796933,75.47454065089462,215.77331872222896,154.734778431608,171.579731596013,118.22703254473396,248.43814398943204,112.9430166926864,176.86374744806056,45.21154077098589,184.0692236099436,243.60231776149874
labeled-data\2015-11-24_3_SS047_eye\img21745.png,,,,,,,,,173.60043334960938,100.06568145751953,173.5011919058485,133.59871502341775
labeled-data\2015-11-24_3_SS047_eye\img21773.png,,,,,,,,,,,,
labeled-data\2015-11-24_3_SS047_eye\img21775.png,,,184.0692236099436,167.22427044553856,137.26036071777344,129.00808715820312,227.3020805812418,129.7557944037468,182.47511291503906,108.94379425048828,184.0692236099436,210.93749249429564
labeled-data\2015-11-24_3_SS047_eye\img24653.png,197.03908070133303,97.09096913654372,202.3230965533806,158.09733397382007,170.1386363636364,131.67725471358227,228.2628107361595,125.91287378407586,175.42265221568397,69.71015972138818,180.70666806773153,238.31830190945118
labeled-data\2015-11-24_3_SS047_eye\img27644.png,204.72492194067496,88.44439774228408,211.45003302509912,153.29368319923137,175.42265221568397,120.6288579320283,238.83084244025463,115.82520715743959,177.82447760297828,55.299207397622126,175.90301729314282,245.5237780713342
labeled-data\2015-11-24_3_SS047_eye\img32931.png,192.23542992674436,91.80695328449616,198.96054101116852,161.940254593491,157.16877927224695,127.83433409391134,228.7431758136184,128.79506424882905,173.5011919058485,87.00330250990748,168.21717605380093,231.11282574756814
labeled-data\2015-11-24_3_SS047_eye\img33984.png,,,,,,,,,,,,
labeled-data\2015-11-24_3_SS047_eye\img34044.png,,,176.86374744806056,155.6955085865257,,,,,178.78520775789605,117.26630238981622,177.34411252551945,190.28179416356429
labeled-data\2015-11-24_3_SS047_eye\img34271.png,204.24455686321608,90.84622312957842,210.4893028701814,149.45076257956043,179.26557283535493,119.18776269965167,234.98792182058372,120.14849285456941,177.34411252551945,60.1028581722108,179.26557283535493,240.23976221928663
labeled-data\2015-11-24_3_SS047_eye\img39865.png,194.63725531403873,107.65900084063884,198.4801759337097,161.940254593491,168.69754113125978,136.48090548817098,220.09660441935875,135.03981025579435,171.09936651855415,71.63162003122366,172.54046175093075,244.0826828389576
labeled-data\2015-11-24_3_SS047_eye\img43480.png,200.882001321004,91.3265882070373,208.08747748288704,156.1758736639846,170.1386363636364,126.8736039389936,234.50755674312484,123.51104839678152,178.78520775789605,56.74030262999872,182.628128377567,252.72925423321723
labeled-data\2015-11-24_3_SS047_eye\img45612.png,,,,,,,,,155.72768403987033,129.27542932628793,156.2080491173292,179.23339738201028
labeled-data\2015-11-24_3_SS047_eye\img45618.png,,,,,,,,,148.41580200195312,143.6039276123047,147.0811126456107,183.07631800168124
labeled-data\2015-11-24_3_SS047_eye\img46552.png,197.51944577879192,79.79782634802444,205.68565209559267,167.22427044553856,156.68841419478807,124.47177855169923,243.15412813738448,121.10922300948715,178.30484268043716,46.65263600336249,182.14776330010812,257.53290500780594
labeled-data\2015-11-24_3_SS047_eye\img47077.png,194.15689023657984,106.21790560826221,199.4409060886274,159.53842920619667,169.17790620871867,134.0790801008766,221.05733457427652,133.11834994595887,173.98155698330734,66.82796925663499,175.42265221568397,243.60231776149874
labeled-data\2015-11-24_3_SS047_eye\img47605.png,185.9906839197791,85.081842200072,191.75506484928547,162.90098474840875,151.8847634201994,124.47177855169923,228.2628107361595,119.66812777711056,170.1386363636364,47.6133661582802,168.21717605380093,246.96487330371082
labeled-data\2015-11-24_3_SS047_eye\img48366.png,,,,,,,,,156.60617065429688,102.85067749023438,159.0902395820824,159.0580641287378
labeled-data\2015-11-24_3_SS047_eye\img48393.png,,,,,,,,,,,,
labeled-data\2015-11-24_3_SS047_eye\img48394.png,,,,,,,,,,,,
