scorer,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia,Sylvia
bodyparts,pupil_top,pupil_top,pupil_bottom,pupil_bottom,pupil_left,pupil_left,pupil_right,pupil_right,lid_top,lid_top,lid_bottom,lid_bottom
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-08-11_1_SS041_eye\img02071.png,,,,,,,,,183.59935304990756,98.40881579346086,183.20354686221626,104.34590860883009
labeled-data\2015-08-11_1_SS041_eye\img02075.png,,,133.1114501953125,105.80876159667969,117.49971970546343,88.5136611011788,149.5600209084573,93.26333535347419,152.72647040998754,80.99334353504443,148.83570861816406,150.57896423339844
labeled-data\2015-08-11_1_SS041_eye\img06842.png,134.36224365234375,80.93973541259766,134.34637451171875,108.304931640625,121.89740753173828,93.84750366210938,148.99241638183594,97.10089874267578,143.10768127441406,50.912776947021484,143.2161407470703,181.8188018798828
labeled-data\2015-08-11_1_SS041_eye\img10866.png,132.54035483773217,79.8059249719706,130.95713008696703,107.11655192266906,119.87455683161113,91.68011060270905,147.1851837823096,94.8465601042393,140.4564785915578,48.933042332050604,139.26906002848395,180.73650283324753
labeled-data\2015-08-11_1_SS041_eye\img13432.png,137.29002909002756,79.8059249719706,136.1026105269537,108.3039704857429,123.04100633314138,94.45075391654802,152.33066422229626,97.221397230387,144.8103466561619,51.30787945819827,144.01873428077934,182.71553377170392
labeled-data\2015-08-11_1_SS041_eye\img14100.png,,,,,,,,,182.80774067452498,76.24366928274907,181.62032211145115,87.32624253810496
labeled-data\2015-08-11_1_SS041_eye\img14106.png,,,,,,,,,214.86804187751883,99.99204054422597,214.86804187751883,110.28300142419931
labeled-data\2015-08-11_1_SS041_eye\img14107.png,,,,,,,,,177.6622602345383,80.59753734735315,177.26645404684703,90.8884982273265
labeled-data\2015-08-11_1_SS041_eye\img14108.png,,,,,,,,,220.0135223175055,90.49269203963522,220.40932850519678,108.3039704857429
labeled-data\2015-08-11_1_SS041_eye\img14214.png,133.33196721311472,66.74432077815828,131.7487424623496,103.95010242113881,114.33327020393318,84.15979303657468,152.33066422229626,87.72204872579624,149.95582709614857,34.68401957516443,147.58098997000087,189.04843277476442
labeled-data\2015-08-11_1_SS041_eye\img14742.png,131.7487424623496,75.84786309505776,129.37390533620191,108.69977667343417,116.3123011423896,91.28430441501777,148.37260234538346,94.05494772885675,144.8103466561619,42.204337141298794,143.22712190539679,187.4652080239993
labeled-data\2015-08-11_1_SS041_eye\img15422.png,145.99776521923576,79.01431259658804,145.2061528438532,111.86622617496445,129.37390533620191,95.24236629193058,159.85098178843063,96.42978485500444,151.5390518469137,46.55820520590291,151.5390518469137,185.09037089785164
labeled-data\2015-08-11_1_SS041_eye\img20527.png,133.8419189453125,81.02386474609375,134.58531188964844,110.54883575439453,120.37998962402344,94.82793426513672,148.66873168945312,97.00025939941406,142.77667236328125,50.38591384887695,145.36436462402344,184.6825714111328
labeled-data\2015-08-11_1_SS041_eye\img23015.png,136.49841671464497,84.15979303657468,135.31099815157114,113.84525711342084,122.6452001454501,97.221397230387,150.35163328383985,98.40881579346086,144.41454046847062,53.28691039665469,143.62292809308806,186.27778946092548
labeled-data\2015-08-11_1_SS041_eye\img30969.png,140.4564785915578,83.36818066119213,139.66486621617526,113.05364473803829,125.41584345928908,97.61720341807828,155.10130753613524,100.38784673191725,148.37260234538346,51.70368564588958,149.95582709614857,185.09037089785164
labeled-data\2015-08-11_1_SS041_eye\img34727.png,,,,,,,,,164.01589965820312,91.72490692138672,162.6216251022696,131.26072937183727
labeled-data\2015-08-11_1_SS041_eye\img34860.png,,,145.60195903154448,95.63817247962189,125.0200372715978,79.41011878427932,163.01743128996088,83.36818066119213,155.49711372382652,72.68141359352751,161.91879272460938,119.18463897705078
labeled-data\2015-08-11_1_SS041_eye\img34862.png,,,,,,,,,,,,
labeled-data\2015-08-11_1_SS041_eye\img34863.png,,,,,,,,,150.35163328383985,96.03397866731316,153.51808278537013,108.3039704857429
labeled-data\2015-08-11_1_SS041_eye\img34865.png,,,,,,,,,174.49581073300806,119.78234992879007,171.3293612314778,136.40620981182394
labeled-data\2015-08-11_1_SS041_eye\img34866.png,,,,,,,,,164.9964622284173,104.34590860883009,162.22581891457833,158.967162510227
labeled-data\2015-08-11_1_SS041_eye\img37716.png,134.91519196387986,82.97237447350085,133.33196721311472,112.26203236265573,121.06197539468499,97.221397230387,149.164214720766,99.5962343565347,142.03970334232292,49.72465470743316,142.03970334232292,189.44423896245573
