scorer,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2015-11-11_2_SS047_eye\img01178.png,136.4611906,63.21565256,155.0341644,135.1601257,184.027931,93.82381594,105.0257795,107.0597785,128.547348,29.53622055,173.5196228,218.1205292,286.6066407,84.72409169,26.02077293,149.5971069
labeled-data\2015-11-11_2_SS047_eye\img01505.png,197.6775173,75.62436744,206.7772416,128.9818415,227.2180328,92.99182892,176.1690782,110.782393,152.3274384,26.69392395,212.0036316,213.0244141,299.0153556,65.69739553,39.92116165,157.2631531
labeled-data\2015-11-11_2_SS047_eye\img01797.png,176.8437296,84.33871436,184.1875589,133.6472829,207.1908654,100.0281734,153.4197676,115.7458789,149.6971531,34.67560832,191.059536,216.2564695,297.3909781,79.24558233,36.96126569,145.5372923
labeled-data\2015-11-11_2_SS047_eye\img01830.png,,,,,,,,,133.9794476,99.61454956,146.3881625,134.772575,,,,
labeled-data\2015-11-11_2_SS047_eye\img02207.png,179.064445,55.3567998,203.4682509,126.0864747,228.2856807,79.34698191,150.5244007,101.6826687,149.2835293,37.15735129,190.2322884,202.6068832,284.5385216,80.5878534,50.42743402,152.1447759
labeled-data\2015-11-11_2_SS047_eye\img03099.png,189.8186646,79.76060574,198.504765,125.259227,215.8322906,94.03451538,170.3783446,112.4368883,147.9570618,32.43780899,206.1862946,215.3000336,293.9863892,75.69235992,38.20159912,162.6817017
labeled-data\2015-11-11_2_SS047_eye\img03463.png,201.4001318,77.27886276,208.8453607,126.0864747,227.8720569,96.30555892,177.4099497,109.5415215,153.516861,30.15845108,214.1005402,213.5373077,297.7518311,77.15016174,40.25740051,158.4840698
labeled-data\2015-11-11_2_SS047_eye\img03832.png,172.1227871,60.14035432,194.7678685,132.0868605,222.6913948,82.52831968,144.6888924,110.2552001,145.0703191,22.31045937,200.423044,215.7719075,290.4982315,56.36222158,39.05950265,138.193463
labeled-data\2015-11-11_2_SS047_eye\img08076.png,181.9598118,74.38349596,203.0546271,131.8772082,222.908571,95.06468744,158.7968774,113.6777598,170.7919684,31.36661768,204.2954986,212.1202312,291.1976438,64.75516941,38.43234296,157.5218857
labeled-data\2015-11-11_2_SS047_eye\img09140.png,,,,,,,,,163.7603633,73.96987213,167.4829778,116.5731266,,,,
labeled-data\2015-11-11_2_SS047_eye\img13363.png,,,,,,,,,124.8956889,91.95849261,133.5658238,117.4003742,,,,
labeled-data\2015-11-11_2_SS047_eye\img13366.png,,,174.5145829,121.1229887,205.1227463,94.23743977,144.3200433,107.8870261,149.3864288,86.37029266,166.2421063,155.4537665,263.0300824,94.6510636,52.08192934,134.3589512
labeled-data\2015-11-11_2_SS047_eye\img13507.png,,,,,,,,,125.639389,119.3493271,134.3162231,165.6607819,27.24684143,2.498329163,,
labeled-data\2015-11-11_2_SS047_eye\img13508.png,,,188.5777931,109.5415215,,,,,160.7250366,99.52883148,181.1325642,176.134958,278.3341641,95.06468743,49.60018636,153.3856474
labeled-data\2015-11-11_2_SS047_eye\img21867.png,191.8867837,60.73390958,205.1227463,121.1229887,229.5265522,84.72409169,165.4148586,100.855421,157.0500946,16.42747498,205.4379425,214.4734802,305.9888611,81.76612854,41.34095764,153.776413
labeled-data\2015-11-11_2_SS047_eye\img23825.png,174.9282068,83.89684404,188.1641692,125.6728508,203.8818748,98.78730194,159.2105012,112.0232645,150.9380246,42.53446108,183.6143072,205.9158738,298.6017318,82.65597255,27.26449956,155.8673904
labeled-data\2015-11-11_2_SS047_eye\img24367.png,163.8517758,73.90905011,174.7163202,115.5612525,189.2923964,89.10854688,145.7998695,98.35678113,153.6348572,32.64851379,184.0661139,199.6948619,284.1248977,82.24234872,32.22798552,149.2494091
labeled-data\2015-11-11_2_SS047_eye\img24640.png,171.0513212,73.68408363,185.9344149,122.4277779,202.4830502,93.16188549,154.2470152,108.30065,153.4197676,39.22547044,198.4753086,205.0658724,291.8068446,85.86169229,30.55727164,155.3290648
labeled-data\2015-11-11_2_SS047_eye\img25237.png,181.9634939,64.6144772,199.3246485,120.2355054,219.9191687,84.9232088,160.4513727,102.0962925,160.4513727,22.26689343,202.0135341,213.2707492,308.8924783,89.59004004,35.10345172,152.1817094
labeled-data\2015-11-11_2_SS047_eye\img25533.png,175.5372656,66.61867867,191.0859718,119.7579639,212.1543514,85.55870345,154.3410507,101.5511513,153.8333914,16.06253599,199.2650743,202.5878114,297.1426486,59.50957702,37.55139483,150.0834724
labeled-data\2015-11-11_2_SS047_eye\img25665.png,197.5064361,55.8180093,210.7433188,109.7788173,231.5142718,76.80546067,174.228119,93.92275572,149.7972758,38.09509169,186.48349,183.8374559,286.7639148,76.61242602,57.48464594,138.5431691
labeled-data\2015-11-11_2_SS047_eye\img26041.png,196.1883393,64.26477104,212.214587,113.076065,232.1361306,82.05795981,180.3053165,97.96005425,160.8649965,18.13065513,201.8137556,212.1202312,304.4743986,79.37267641,41.62371546,152.817204
labeled-data\2015-11-11_2_SS047_eye\img26113.png,,,,,,,,,126.3220557,96.62924578,130.2568331,114.9186313,,,,
labeled-data\2015-11-11_2_SS047_eye\img26122.png,,,,,,,,,112.2528197,106.3603662,118.2617421,125.6728508,,,,
labeled-data\2015-11-11_2_SS047_eye\img26127.png,,,184.2461197,106.394166,207.3826184,73.11250665,150.0120521,87.78246877,162.7243805,49.0328331,182.9302844,135.8591755,271.1551096,62.30722629,55.03670282,115.8122687
labeled-data\2015-11-11_2_SS047_eye\img26137.png,,,184.5958259,112.0871821,210.7555268,78.58365192,145.3735863,94.16030651,162.1964722,53.17421722,177.3989035,144.9890175,270.1059911,74.54694188,51.88934738,124.2052166
labeled-data\2015-11-11_2_SS047_eye\img26139.png,,,,,,,,,142.6492923,96.14539097,152.5925199,130.2227129,,,,
labeled-data\2015-11-11_2_SS047_eye\img26141.png,,,,,,,,,,,,,,,,
labeled-data\2015-11-11_2_SS047_eye\img26145.png,,,,,,,,,143.0791718,128.1545938,143.9064195,148.0085376,,,,
labeled-data\2015-11-11_2_SS047_eye\img26146.png,,,,,,,,,121.2268906,124.740593,121.1571089,142.217804,,,,
labeled-data\2015-11-11_2_SS047_eye\img26154.png,,,,,,,,,129.0159616,148.8357853,131.4977046,167.0352338,,,,
labeled-data\2015-11-11_2_SS047_eye\img26157.png,,,,,,,,,,,,,,,,
labeled-data\2015-11-11_2_SS047_eye\img26187.png,,,,,,,,,128.6023378,103.7507879,139.1255637,155.6392461,,,,
labeled-data\2015-11-11_2_SS047_eye\img26301.png,161.9862697,67.71998924,176.0673549,113.9792291,194.5705506,83.59682399,140.7674766,97.60135586,145.2369811,46.76064824,175.2382436,182.0470232,267.5941303,80.84533481,29.12832919,145.2515038
labeled-data\2015-11-11_2_SS047_eye\img26303.png,,,,,,,,,127.7112122,122.8229218,130.2568331,150.4902806,,,,
labeled-data\2015-11-11_2_SS047_eye\img26304.png,,,,,,,,,124.0430298,145.4128265,125.3309708,172.6554413,,,,
labeled-data\2015-11-11_2_SS047_eye\img26305.png,,,,,,,,,,,,,,,,
labeled-data\2015-11-11_2_SS047_eye\img26307.png,,,,,,,,,,,,,,,,
labeled-data\2015-11-11_2_SS047_eye\img26308.png,,,,,,,,,,,,,,,,
labeled-data\2015-11-11_2_SS047_eye\img26309.png,,,,,,,,,156.9770648,106.3302483,175.8993844,184.7361629,,,,
labeled-data\2015-11-11_2_SS047_eye\img26332.png,,,,,,,,,151.0505829,128.0368805,152.5925199,154.2128951,,,,
labeled-data\2015-11-11_2_SS047_eye\img26338.png,,,195.8697723,119.5621959,217.7871319,88.22851738,163.7293741,104.6426317,167.0111551,61.40042158,198.9161674,190.3697967,289.7835715,83.25579602,50.59980592,149.0343539
labeled-data\2015-11-11_2_SS047_eye\img27023.png,173.405014,78.49746704,188.3409576,126.5248642,208.0181131,96.71918275,153.4197676,107.8870262,149.8643646,27.52969742,196.3020935,211.4859619,292.3438721,78.99959564,34.65687561,152.8183289
labeled-data\2015-11-11_2_SS047_eye\img28280.png,169.6161957,81.2130127,187.5077209,126.1827927,204.7091225,97.13280658,151.7652723,108.7142738,147.8494263,43.92961121,191.2745667,206.5314484,285.3650818,81.68458557,34.49534225,158.7999725
labeled-data\2015-11-11_2_SS047_eye\img30972.png,176.5224664,84.85192703,193.537597,130.8280898,208.8453607,102.3255274,160.8649965,118.2276219,155.4878867,37.98459895,197.6406969,209.9654406,290.40802,80.17235825,30.74902465,158.3184671
labeled-data\2015-11-11_2_SS047_eye\img35048.png,178.6883031,75.84623827,197.1022583,123.2888254,212.8236459,92.11276701,162.9331157,111.1960168,152.1788961,41.29358959,193.6660937,202.8060003,286.7941692,78.99908648,33.35492092,156.3781833
labeled-data\2015-11-11_2_SS047_eye\img36475.png,174.9994885,72.05970613,197.9596238,125.2930268,215.8130482,93.0340502,155.3600514,111.9556648,160.0377489,33.43473683,199.8102156,206.7842853,296.2024357,74.80261256,30.9069778,156.3781833
labeled-data\2015-11-11_2_SS047_eye\img38409.png,191.6046773,83.92696185,203.4344511,125.5788153,220.7765342,98.88870144,173.1157583,111.0982992,160.4513727,37.98459895,197.9676493,209.8376054,300.0793212,79.12692182,36.69402936,152.5314155
labeled-data\2015-11-11_2_SS047_eye\img39514.png,,,,,,,,,151.4191437,79.34044647,165.8211184,127.2031928,,,,
labeled-data\2015-11-11_2_SS047_eye\img40121.png,,,190.2154694,121.7341003,211.5450745,88.41087341,144.4007263,100.761673,155.1972046,66.86585999,177.8472443,162.1058502,254.4383698,89.9185791,54.77011871,138.4337616
labeled-data\2015-11-11_2_SS047_eye\img40146.png,,,192.9457092,132.7197876,218.0426178,89.38385773,144.5057373,108.7197876,147.7193146,63.91921234,177.6936493,174.9068146,273.0674744,84.26416779,43.19884109,145.740921
labeled-data\2015-11-11_2_SS047_eye\img42825.png,172.8336518,75.74852074,186.5059919,128.8238883,210.0223146,95.32404017,150.110777,110.4628046,145.5609149,63.62927639,177.1961044,184.1290102,278.1492328,87.4860698,40.69875027,153.580534
labeled-data\2015-11-11_2_SS047_eye\img43143.png,183.2006833,78.51973425,200.300415,128.3513641,214.1197205,93.45230103,163.2721863,111.8048477,145.4995728,59.01420212,184.2006073,192.5813446,274.6950378,86.16371155,39.43951035,153.969696
labeled-data\2015-11-11_2_SS047_eye\img45095.png,177.0000079,77.56465125,191.9771372,128.1883937,210.1501499,98.47139555,158.097465,111.6397584,149.2835293,49.97969001,184.2916272,199.8805156,280.5971759,82.2404774,40.16097315,156.8219249
labeled-data\2015-11-11_2_SS047_eye\img45999.png,186.5434738,77.91435741,199.0726599,121.63433,216.0988366,93.38375633,169.1374731,104.9916593,161.2786203,41.29358959,198.6971794,198.7975972,291.4380668,79.79253428,40.69875027,151.1325909
labeled-data\2015-11-11_2_SS047_eye\img46071.png,190.2322884,71.90175298,206.4789734,121.7219543,221.2540756,92.58294446,171.6192161,106.2325308,156.7390747,45.66493607,202.4173126,206.932373,293.8679504,73.65297699,42.26760864,159.0950775
labeled-data\2015-11-11_2_SS047_eye\img46141.png,190.6459122,61.14753341,207.1879578,122.8595428,226.7902222,82.98327637,162.7291107,102.1907578,158.554718,30.12566185,203.4691925,212.2727509,292.0281982,71.71405029,38.01548386,155.2558594
labeled-data\2015-11-11_2_SS047_eye\img49880.png,191.7626304,70.53304615,204.8633935,118.0395509,224.1494424,87.75097589,172.5103814,99.61454956,153.0061437,31.36661768,201.8783347,210.1873115,297.3830715,72.79841109,41.34160902,151.0686732
labeled-data\2015-11-11_2_SS047_eye\img50657.png,,,190.1668627,110.8503333,211.3271037,84.72409169,159.3383366,92.32727378,148.0098335,70.6565781,168.7238493,161.2445002,261.0136309,79.44282812,46.29404883,131.8987521
labeled-data\2015-11-11_2_SS047_eye\img53728.png,,,,,,,,,149.7935585,77.06777565,157.1423821,101.2690449,,,,
labeled-data\2015-11-11_2_SS047_eye\img53729.png,,,,,,,,,96.67457581,99.84996033,106.2930069,112.1248474,,,,
labeled-data\2015-11-11_2_SS047_eye\img53735.png,,,,,216.1025187,65.22353608,133.6936591,84.46473897,144.8497949,54.14236407,168.4153071,126.940158,253.6698016,54.96339694,50.84022891,119.6590365
labeled-data\2015-11-11_2_SS047_eye\img53736.png,,,,,,,,,123.225228,89.68757765,124.8797233,107.0597785,,,,
labeled-data\2015-11-11_2_SS047_eye\img53743.png,,,,,,,138.273639,91.56026174,138.5868804,78.31828504,156.2438526,139.931496,246.3259722,81.54106508,38.01038417,133.2975767
labeled-data\2015-11-11_2_SS047_eye\img53793.png,174.5145829,46.25707554,201.2733917,130.072113,227.8720569,73.14262447,140.5974289,100.855421,154.2561646,34.92120743,185.0075531,176.6472168,280.6251526,74.86843872,36.64609909,140.3044128
