scorer,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2019-06-19_1_AL022_eye\img001182.png,73.79495318,55.65336566,76.7695761637169,66.36921331914459,79.9545752691446,59.053099691710806,69.7030677391446,62.062592952006106,73.33933063,25.35446562,89.47060837995271,85.57168652325053,130.27736112790802,34.98640124292699,31.108182066295043,66.57345198325409
labeled-data\2019-06-19_1_AL022_eye\img002041.png,66.96061483,44.72313237286151,75.8856040060183,61.141685202006094,79.48587635542772,49.44178743427701,62.215807061150684,56.81892406572299,74.01628876,27.92970085,92.73264639976563,73.97566492112021,122.49254858560467,32.489194752272184,38.47660112684194,65.40388408814023
labeled-data\2019-06-19_1_AL022_eye\img012258.png,73.56714190000001,43.80717918,76.82624038315679,57.690590806283105,81.77706549914463,48.5345518005601,65.59374716,52.0083852,73.33933063,18.06450471,92.5899608511202,88.05051384029528,136.26147737327352,32.970970025921545,30.932676221363234,64.40546325183196
labeled-data\2019-06-19_1_AL022_eye\img022549.png,,,,,,,,,91.74777319026482,27.437334186283096,94.88722992,35.22203827,,,,
labeled-data\2019-06-19_1_AL022_eye\img022554.png,,,,,,,,,96.0154424205601,32.409082167433795,100.2210615,43.1066595,,,,
labeled-data\2019-06-19_1_AL022_eye\img022566.png,,,,,,,,,93.24559021,31.27208328,98.00833048858449,42.401431727138494,,,,
labeled-data\2019-06-19_1_AL022_eye\img031449.png,68.7613111271385,52.2536316282892,71.10916449029531,61.5808176845723,75.6130846254277,55.64900686542771,64.24431462828919,57.97506630572299,70.37778401,28.08820096,88.83049756,75.70075816,127.29953376348801,35.06050060707223,30.266677530529687,62.363879318069365
labeled-data\2019-06-19_1_AL022_eye\img034896.png,66.24231070342162,54.2995743437169,69.96139052115068,63.61804283085541,73.33497183542771,58.1418545717108,62.65399447286149,60.472272796578395,73.56714190000001,24.21540923,90.12326586227091,81.72410347516289,125.25243664371509,33.856062422948824,32.2908263197875,66.50807019136121
labeled-data\2019-06-19_1_AL022_eye\img041151.png,68.04736578513241,48.1530286082892,71.10044691736626,58.912464132480146,75.16182085,52.0083852,62.627841755427696,55.02659603943989,71.74465168,21.48167389,87.00800733,70.68891003,124.9636023595023,28.709091927222516,30.709223729043316,60.09448410586067
labeled-data\2019-06-19_1_AL022_eye\img042632.png,,,,,,,,,84.80648804,32.60079575,91.89374542,42.85728073,,,,
labeled-data\2019-06-19_1_AL022_eye\img042648.png,,,,,,,,,97.1307373,27.03798485,103.9445000923014,38.50684606427701,,,,
labeled-data\2019-06-19_1_AL022_eye\img042663.png,,,70.68170391061452,45.135347892331126,,,,,75.48296356,33.64344788,82.2898407,52.12873077,121.46361624641305,26.203167864315347,43.07205577089981,58.4332689649609
labeled-data\2019-06-19_1_AL022_eye\img042671.png,,,,,,,,,88.21876728138506,30.736089422006096,95.58201897312632,47.1723922134216,121.20965225120982,26.930189560915565,43.98214648480009,59.52989189581368
labeled-data\2019-06-19_1_AL022_eye\img042799.png,60.97213980141553,44.95931192371689,66.34256278858447,57.29163246572299,69.92216145,49.2615734962831,56.04310860828919,53.440634658584486,71.74465168,16.46982576,93.38672313,77.75105966,126.3740578914409,29.698795191278393,25.73775907824883,60.78663551345139
labeled-data\2019-06-19_1_AL022_eye\img048800.png,70.34727250799392,49.0511973645723,74.77158008858449,59.0574584762831,78.37297268286147,52.41170232513241,66.30769250200608,56.59076348743379,74.25057574,23.98759795,91.9021682365479,85.38651908345207,133.2476253199598,33.602098427745574,29.526579475550868,63.051671939533875
labeled-data\2019-06-19_1_AL022_eye\img089405.png,,,,,,,,,93.34749405884929,36.74537883828919,98.85419381,50.85224296,,,,
labeled-data\2019-06-19_1_AL022_eye\img089412.png,,,,,,,,,93.10953522,26.9336071,97.6542961523014,37.387565367433794,,,,
labeled-data\2019-06-19_1_AL022_eye\img089438.png,,,,,,,,,90.07831325301203,21.78569492254735,93.77538726333907,36.34292383821,,,,
labeled-data\2019-06-19_1_AL022_eye\img089439.png,,,,,,,,,99.34455872,21.67549706,105.0876760297352,32.75262179144599,,,,
labeled-data\2019-06-19_1_AL022_eye\img118468.png,65.56759444256619,54.071763063716894,68.36235278657838,63.3945903354277,71.06121784,57.47585588,61.74274935286151,60.02972659029529,72.88370807,24.67103179,90.3685122905601,78.27642280315679,131.37718844500284,30.87272187251847,29.12326235217295,67.19150402669955
labeled-data\2019-06-19_1_AL022_eye\img127110.png,66.93882089713853,52.464007759999994,70.18484301657841,62.9302502062831,73.5758594791446,56.54717562171081,62.1852955591446,59.32449882743379,69.69435017,24.21540923,91.79204418,80.02917245,130.0190383465786,31.323985643284487,28.65892222302835,68.58452441413334
labeled-data\2019-06-19_1_AL022_eye\img134793.png,,,,,,,,,90.44857025,34.92280579,95.90123676230137,47.82576671144597,,,,
labeled-data\2019-06-19_1_AL022_eye\img156516.png,66.46140441116923,46.0896507445723,69.96139052115068,58.606194700855404,74.93400957689221,50.39191232335408,60.805351525427696,53.397046802861496,71.74465168,16.24201448,97.71513742,85.49664313,128.90613467110515,32.738799961349244,25.855446303655995,61.87774525829381
labeled-data\2019-06-19_1_AL022_eye\img172373.png,66.47012198342162,53.164876738289195,69.72050288743381,62.4964215791446,73.56714190844612,56.79242204466166,61.9487667,58.873235052006095,66.96061483,22.62073028,89.28612012107784,81.85166267223055,127.74964313436989,33.61953357225033,28.65892222302835,64.63763331640426
labeled-data\2019-06-19_1_AL022_eye\img204095.png,67.81955450513239,50.6633114628615,72.23078573200608,63.210366921150694,76.50689459713853,54.48815654256621,62.65399447286149,57.51944374572298,70.37778401,20.57042877,93.57966412294557,87.84013770838388,129.61572122320067,34.35963162722915,28.89109228760065,65.56631357469345
labeled-data\2019-06-19_1_AL022_eye\img205542.png,,,,,,,,,85.20893944398173,28.154996672861493,89.99674988,41.09656143,,,,
labeled-data\2019-06-19_1_AL022_eye\img208978.png,62.38259532713851,49.73027242,65.62425866200608,60.89302506,69.9308790191446,53.5856290017108,57.86559883828919,56.59076348743379,67.41623739,19.43137238,85.86895094127844,83.44634163067666,131.39898237563378,32.74751753360161,26.105051512733056,65.79848363926575
labeled-data\2019-06-19_1_AL022_eye\img213385.png,65.5763120117108,51.5658390037169,68.36235278657841,61.5851764691446,71.9855393137169,55.18030795171081,61.278409223716906,58.43940643486759,69.46653889,23.98759795,89.5139314,80.02917245,127.93386655155409,31.76653184179814,28.84750442633873,65.79412485313956
labeled-data\2019-06-19_1_AL022_eye\img216222.png,71.02198876884931,49.515537493716906,74.73235101743379,61.1251951245723,79.26242387,53.5856290017108,66.0537285045723,56.82293355200609,74.25057574,22.62073028,98.62638253,81.85166268,136.00315459194405,31.35449714616783,32.31697903654465,63.79612878063888
labeled-data\2019-06-19_1_AL022_eye\img285101.png,,,,,,,,,82.1574707,24.689653399999997,89.64653669345208,50.87686514743379,,,,
labeled-data\2019-06-19_1_AL022_eye\img303700.png,55.05776413056011,44.7227830745723,61.78197843401219,62.48770401,66.5006334854277,52.192608614277,48.744430129144604,56.36731099200609,68.09967122,11.45797764,93.38672313,91.41973637,131.66602272921563,32.528423827407906,23.765915722505298,55.58300079808459
labeled-data\2019-06-19_1_AL022_eye\img328721.png,64.17893283970471,44.72714185914459,69.06758055943989,62.0407990291446,73.79495318,52.23619648,56.93691858,54.54046197743379,69.92216145,12.36922275,94.7535908,89.14162359,134.62756934901503,33.26416309626052,24.944201189871563,61.15508234781977
labeled-data\2019-06-19_1_AL022_eye\img346525.png,67.84134843799391,49.9668012691446,71.80131589943989,62.9520441391446,77.01046379743381,54.9437791025662,61.50622050371689,58.4088949228615,68.3274825,15.55858065,93.38672313,88.00256719,128.46358847259154,31.33270321553688,26.27183978541249,61.65865155210009
labeled-data\2019-06-19_1_AL022_eye\img350664.png,54.886617072431136,45.857480678446095,58.562109034236634,58.21159514952927,61.9487667,51.09714009,50.78601405533832,53.37525287378443,64.91031332,13.05265659,91.10861035,86.63569952,128.66960582040667,32.26574225995226,23.68745757223386,59.81436739390027
labeled-data\2019-06-19_1_AL022_eye\img360630.png,,,,,,,,,86.56269045350899,33.74615890533832,93.93228149,46.75868988,,,,
labeled-data\2019-06-19_1_AL022_eye\img360632.png,,,,,,,,,84.23942682740335,28.448840731150682,89.76890564,42.40523148,,,,
labeled-data\2019-06-19_1_AL022_eye\img366320.png,62.3738777579939,48.13559347,65.85206994200608,61.1251951245723,69.4708976745723,53.36217651628311,57.16472986,56.35859342286149,67.18842611,13.73609042,90.65298778398504,90.50849126067664,127.92950776542789,30.17185289267539,24.204103134892748,59.84052011065742
labeled-data\2019-06-19_1_AL022_eye\img380310.png,,,,,,,,,80.74871826,36.55856323,87.57706451,57.31664276,,,,
labeled-data\2019-06-19_1_AL022_eye\img408491.png,61.72095543,47.20726251,66.30333370743378,58.396167867433796,70.14997273,51.08005424,56.814056273716886,55.10960352115069,69.99259186,8.741506577000001,84.36626434,85.94976044,135.8058548163813,28.585891515805002,24.47665667448492,59.60835004608513
